# Hoag+19 z~7.6 neutral fraction posterior
# xHI	pxHI
0.01	1.6217419353375485e-05
0.02	1.8412392314608547e-05
0.05	2.32943521286818e-05
0.07	3.0176906103130177e-05
0.09	4.51156833995903e-05
0.12	5.8200382872315766e-05
0.15	9.199782479876854e-05
0.18	0.00015574653858977126
0.22	0.0002699295322528145
0.25	0.0004652104729949317
0.29	0.0008735906772414792
0.32	0.001700714835746177
0.36	0.003015985535751187
0.39	0.0054894751743583235
0.42	0.009294052266191675
0.45	0.018220104992395344
0.49	0.031493452097271314
0.52	0.05055018748166692
0.55	0.08620167890151903
0.58	0.1436945195604962
0.61	0.22860043501136243
0.64	0.33046232349651833
0.66	0.5772039407864401
0.69	0.7347436437028328
0.72	1.0899822103342542
0.74	1.3806913822133775
0.76	1.8838383581509752
0.78	2.541621785012218
0.8	2.8756460881454773
0.82	3.4766367499710595
0.84	4.531574157702094
0.86	4.497651516450743
0.87	4.65148431092223
0.89	5.144331224481319
0.9	5.525078057252988
0.91	5.239328678385435
0.92	5.0521574774640845
0.93	4.953826832223466
0.94	4.64283594841694
0.95	3.599767914946915
1.0	0.0
