# lognion from Robertson+2015 (calculated from rho_SFR)
# z	nion_med	l_68	u_68	l_95	u_95
0.000	50.576	50.544	50.606	50.511	50.634
0.200	50.830	50.792	50.863	50.755	50.895
0.400	51.042	50.993	51.081	50.950	51.120
0.600	51.214	51.156	51.262	51.101	51.311
0.800	51.355	51.288	51.412	51.220	51.475
1.000	51.465	51.388	51.531	51.311	51.605
1.200	51.545	51.454	51.622	51.359	51.706
1.400	51.594	51.490	51.685	51.378	51.782
1.600	51.619	51.497	51.722	51.367	51.833
1.800	51.623	51.486	51.737	51.339	51.860
2.000	51.610	51.462	51.734	51.302	51.868
2.200	51.585	51.428	51.721	51.254	51.861
2.400	51.551	51.388	51.699	51.202	51.844
2.600	51.514	51.341	51.668	51.148	51.816
2.800	51.474	51.296	51.634	51.094	51.787
3.000	51.431	51.247	51.600	51.040	51.756
3.200	51.389	51.198	51.565	50.982	51.724
3.400	51.345	51.150	51.528	50.930	51.692
3.600	51.302	51.104	51.490	50.878	51.660
3.800	51.261	51.059	51.449	50.830	51.628
4.000	51.220	51.013	51.408	50.782	51.598
4.200	51.179	50.973	51.373	50.733	51.569
4.400	51.141	50.933	51.339	50.692	51.539
4.600	51.105	50.892	51.308	50.645	51.508
4.800	51.072	50.853	51.274	50.601	51.478
5.000	51.038	50.813	51.241	50.559	51.449
5.200	51.004	50.774	51.209	50.518	51.420
5.400	50.971	50.738	51.178	50.480	51.392
5.600	50.939	50.702	51.147	50.441	51.364
5.800	50.910	50.667	51.118	50.403	51.337
6.000	50.881	50.632	51.091	50.368	51.311
6.200	50.850	50.602	51.064	50.333	51.286
6.400	50.821	50.570	51.039	50.298	51.259
6.600	50.793	50.539	51.015	50.262	51.235
6.800	50.765	50.510	50.991	50.228	51.211
7.000	50.738	50.481	50.966	50.194	51.188
7.200	50.714	50.451	50.945	50.162	51.169
7.400	50.687	50.424	50.923	50.131	51.150
7.600	50.661	50.395	50.900	50.101	51.130
7.800	50.637	50.368	50.879	50.071	51.109
8.000	50.616	50.343	50.859	50.043	51.089
8.200	50.592	50.318	50.838	50.015	51.070
8.400	50.570	50.293	50.818	49.987	51.050
8.600	50.548	50.266	50.798	49.960	51.031
8.800	50.527	50.240	50.778	49.933	51.011
9.000	50.506	50.216	50.760	49.907	50.992
9.200	50.484	50.193	50.742	49.882	50.975
9.400	50.463	50.171	50.723	49.858	50.959
9.600	50.443	50.149	50.705	49.834	50.942
9.800	50.424	50.127	50.687	49.810	50.926
10.000	50.405	50.106	50.670	49.787	50.909
10.200	50.387	50.085	50.652	49.764	50.893
10.400	50.368	50.065	50.635	49.742	50.877
10.600	50.351	50.045	50.619	49.720	50.861
10.800	50.333	50.023	50.602	49.699	50.846
11.000	50.315	50.004	50.586	49.678	50.831
11.200	50.298	49.985	50.569	49.657	50.816
11.400	50.282	49.966	50.553	49.637	50.801
11.600	50.265	49.948	50.538	49.616	50.787
11.800	50.247	49.931	50.523	49.596	50.773
12.000	50.231	49.913	50.508	49.577	50.759
12.200	50.214	49.896	50.494	49.557	50.745
12.400	50.198	49.880	50.479	49.538	50.731
12.600	50.182	49.862	50.466	49.520	50.719
12.800	50.167	49.844	50.452	49.501	50.707
13.000	50.152	49.827	50.440	49.483	50.695
13.200	50.137	49.811	50.427	49.465	50.682
13.400	50.122	49.796	50.413	49.447	50.670
13.600	50.107	49.780	50.401	49.430	50.658
13.800	50.093	49.765	50.388	49.413	50.645
14.000	50.079	49.749	50.375	49.396	50.633
14.200	50.065	49.734	50.363	49.379	50.621
14.400	50.050	49.719	50.351	49.363	50.609
14.600	50.036	49.704	50.340	49.348	50.598
14.800	50.023	49.689	50.329	49.333	50.586
15.000	50.009	49.674	50.317	49.317	50.575
15.200	49.996	49.660	50.305	49.302	50.564
15.400	49.983	49.647	50.292	49.286	50.553
15.600	49.970	49.633	50.280	49.270	50.543
15.800	49.957	49.620	50.268	49.255	50.533
16.000	49.943	49.606	50.257	49.240	50.523
16.200	49.930	49.593	50.246	49.225	50.512
16.400	49.918	49.580	50.235	49.210	50.503
16.600	49.906	49.566	50.225	49.195	50.493
16.800	49.895	49.554	50.214	49.179	50.483
17.000	49.883	49.540	50.204	49.165	50.473
17.200	49.872	49.527	50.193	49.151	50.464
17.400	49.861	49.515	50.182	49.137	50.454
17.600	49.849	49.501	50.172	49.123	50.445
17.800	49.838	49.488	50.162	49.110	50.436
18.000	49.827	49.475	50.153	49.096	50.427
18.200	49.815	49.463	50.143	49.083	50.418
18.400	49.804	49.451	50.134	49.070	50.409
18.600	49.794	49.439	50.124	49.057	50.400
18.800	49.784	49.427	50.115	49.044	50.391
19.000	49.773	49.415	50.105	49.031	50.383
19.200	49.763	49.403	50.096	49.019	50.376
19.400	49.753	49.392	50.086	49.006	50.368
19.600	49.743	49.381	50.077	48.994	50.360
19.800	49.732	49.369	50.068	48.982	50.353
20.000	49.722	49.358	50.058	48.969	50.345
20.200	49.712	49.347	50.049	48.957	50.338
20.400	49.702	49.336	50.040	48.946	50.330
20.600	49.693	49.326	50.031	48.934	50.323
20.800	49.683	49.315	50.021	48.922	50.316
