# Mason+15 Dust corrected (unobscured) luminosity density in units ergs/s/Hz/Mpc^3, Mlim=-16.5 
#  z  logLdens  logLdens_l  logLdens_u
0.0000 26.2519 26.1738 26.3205
2.0000 26.9329 26.8405 27.0124
3.8000 26.8823 26.7711 26.9750
4.9000 26.7065 26.5813 26.8084
5.9000 26.4910 26.3511 26.6021
6.8000 26.2601 26.1063 26.3792
7.9000 25.9425 25.7714 26.0710
9.0000 25.5843 25.3977 25.7206
10.4000 25.1042 24.8967 25.2501
12.0000 24.5125 24.2833 24.6677
14.0000 23.7027 23.4503 23.8670
16.0000 22.8313 22.5575 23.0033
